epoch,train_loss,train_acc,dev_loss,dev_acc
1,0.7997950128019492,0.7521377487562189,0.5333875349805325,0.841
2,0.45714652369906905,0.8631840796019901,0.4548624648323542,0.8612
3,0.4253624084471131,0.8721737295664534,0.4360407730446586,0.8714
4,0.40653208106777394,0.876882329424307,0.4258785828759399,0.8721
5,0.3908868829938818,0.8812189054726368,0.41775559850885896,0.8721
6,0.37945245050672277,0.8847947761194029,0.410086695151993,0.8737
7,0.37050978380818694,0.8871379708599858,0.40267239907119845,0.874
8,0.3623790207829303,0.8901030561478323,0.39817423684687553,0.8765
9,0.3551186752302391,0.8924795664534471,0.3954039042509055,0.8782
10,0.3485837696118819,0.894633972992182,0.3921386222296123,0.8792
11,0.34277160896760145,0.8967495113717129,0.3886638110197043,0.8812
12,0.33754648149606603,0.898320895522388,0.386637159917928,0.8818
13,0.33306679396486993,0.8999478056147833,0.3852130400983593,0.8817
14,0.3288801630062674,0.9012804282160626,0.3840910943248604,0.8823
15,0.3252292790456113,0.9027407604832978,0.38254214974143835,0.8829
16,0.3216470279164914,0.9037957533759773,0.382527708252774,0.8828
17,0.31853024189194296,0.9050950604122245,0.38143417861642714,0.8827
18,0.3156388741100436,0.9059557125088842,0.3802189627025701,0.8837
19,0.3129876039832216,0.9068607853589197,0.3799443048766897,0.8821
20,0.31043642982787584,0.9077214374555792,0.37940319693541225,0.8843
